X,Y,OBJECTID,COUNTY,UNIQUE_ID,MONUMENT_NAME,RANGE,STATE_PLANE_ZONE,EASTING,NORTHING,LONGITUDE,LATITUDE
748539.9557,434524.932,51,BREVARD,BE R-215,R-215,R,East_Zone,832983.71,1286337.22,-80.45270597,27.87137707
748674.6477,434247.7071,52,BREVARD,BE R-216,R-216,R,East_Zone,833404.25,1285419.21,-80.45141706,27.8688469
748822.1477,433983.6568,53,BREVARD,BE R-217,R-217,R,East_Zone,833867.94,1284543.3,-80.44999407,27.86643198
748967.3427,433689.1669,54,BREVARD,BE R-218,R-218,R,East_Zone,834321.62,1283567.95,-80.44860351,27.86374366
748981.906,433390.7864,55,BREVARD,BE R-219,R-219,R,East_Zone,834345.63,1282590.25,-80.44854281,27.86105419
732092.2877,487629.7793,56,BREVARD,BE R-022,R-022,R,East_Zone,783165.81,1461446.55,-80.60514149,28.35353686
731983.7067,487351.1706,57,BREVARD,BE R-023,R-023,R,East_Zone,782786.72,1460543.31,-80.60632927,28.35105602
732022.5857,487037.7127,58,BREVARD,BE R-024,R-024,R,East_Zone,782889.49,1459514.31,-80.6060202,28.34822495
732017.6277,486740.6075,59,BREVARD,BE R-025,R-025,R,East_Zone,782849.49,1458542.31,-80.60615442,28.34555194
731980.0433,486427.5867,60,BREVARD,BE R-026,R-026,R,East_Zone,782700.99,1457520.81,-80.60662644,28.34274376
731820.5823,486128.4729,61,BREVARD,BE R-027,R-027,R,East_Zone,782153.04,1456554.5,-80.60833964,28.34009093
731902.6131,485838.3104,62,BREVARD,BE R-028,R-028,R,East_Zone,782399.49,1455598.32,-80.60758317,28.33745887
731922.8539,485543.4962,63,BREVARD,BE R-029,R-029,R,East_Zone,782442.49,1454631.82,-80.60745927,28.33480023
733099.7898,493069.4751,64,BREVARD,BE R-003,R-003,R,East_Zone,786910.98,1479170.25,-80.59331155,28.40224931
731925.9287,485235.1272,65,BREVARD,BE R-030,R-030,R,East_Zone,782427.99,1453622.32,-80.60751454,28.33202385
731896.2252,484935.8963,66,BREVARD,BE R-031,R-031,R,East_Zone,782306.49,1452645.33,-80.60790208,28.32933783
731921.213,484633.5583,67,BREVARD,BE R-032,R-032,R,East_Zone,782364.49,1451653.83,-80.60773181,28.3266103
731911.2272,484336.7883,68,BREVARD,BE R-033,R-033,R,East_Zone,782307.99,1450683.33,-80.60791722,28.32394155
731839.5052,484088.9353,69,BREVARD,BE R-034,R-034,R,East_Zone,782052.49,1449877.83,-80.60871949,28.32172839
731839.7066,483804.9424,70,BREVARD,BE R-035,R-035,R,East_Zone,782030.49,1448948.34,-80.60879722,28.31917212
731844.9367,483526.8736,71,BREVARD,BE R-036,R-036,R,East_Zone,782025.49,1448037.84,-80.60882193,28.31666793
731906.5368,483265.1465,72,BREVARD,BE R-037,R-037,R,East_Zone,782207.06,1447176.35,-80.60826629,28.31429687
731862.4095,482932.5602,73,BREVARD,BE R-038,R-038,R,East_Zone,782035.49,1446091.34,-80.60881044,28.31131419
731884.7834,482631.3802,74,BREVARD,BE R-039,R-039,R,East_Zone,782084.99,1445103.84,-80.60866654,28.30859773
